n 5000
1967-10-13 M 49860
1967-10-19 F 65375
1967-10-29 M 7750
1967-11-18 F 122165
1967-11-19 M 144585
1967-12-12 M 156780
1967-12-13 M 99400
1967-12-22 M 150335
1967-12-29 M 27135
1968-01-16 F 141740
1968-01-18 F 49900
1968-01-20 M 79350
1968-02-03 F 42325
1968-02-10 M 85860
1968-02-12 M 132065
1968-02-13 F 105115
1968-02-17 M 128890
1968-02-22 M 69885
1968-02-23 M 142585
1968-03-04 F 59875
1968-03-07 M 160510
1968-03-08 F 147935
1968-03-14 F 163565
1968-03-16 M 18030
1968-03-20 M 129050
1968-03-24 F 85450
1968-03-26 F 152250
1968-04-01 M 116045
1968-04-12 F 73205
1968-05-08 F 86420
1968-05-14 F 19570
1968-05-16 F 38310
1968-05-17 M 64425
1968-06-05 M 93390
1968-06-17 F 89680
1968-06-30 M 68780
1968-07-02 M 140195
1968-07-02 F 141355
1968-07-23 F 132445
1968-08-08 M 147890
1968-09-01 F 12225
1968-09-14 M 31955
1968-09-15 M 79280
1968-09-16 F 55870
1968-09-22 M 44045
1968-10-03 M 142690
1968-10-11 F 112520
1968-11-04 F 140700
1968-11-05 F 10970
1968-11-08 F 65925
1968-11-09 F 120150
1968-11-19 F 38655
1968-11-26 F 1755
1968-12-13 F 23865
1968-12-14 M 136930
1968-12-16 F 91575
1968-12-17 F 50725
1968-12-22 M 151130
1968-12-24 F 38305
1968-12-28 F 86840
1969-01-01 M 97880
1969-01-12 M 103820
1969-01-16 M 70010
1969-01-20 M 120175
1969-01-27 F 92650
1969-02-10 M 75635
1969-02-16 M 142910
1969-02-24 M 89890
1969-03-06 F 72030
1969-03-16 F 45810
1969-04-01 M 79305
1969-04-02 M 78510
1969-04-13 M 162555
1969-04-19 M 138250
1969-04-28 M 34680
1969-05-01 M 64045
1969-05-07 F 146315
1969-05-07 F 100660
1969-05-20 F 79890
1969-06-02 M 64740
1969-06-10 F 55965
1969-06-23 M 1610
1969-06-25 M 106055
1969-06-30 M 28515
1969-07-01 F 56535
1969-07-15 M 76095
1969-07-17 M 144835
1969-07-18 F 22515
1969-07-19 M 96470
1969-07-20 M 29655
1969-07-29 M 50980
1969-08-10 F 66005
1969-08-25 F 28930
1969-08-28 M 75030
1969-08-31 F 3880
1969-09-01 F 39600
1969-09-07 M 6810
1969-09-08 F 52395
1969-09-11 F 105115
1969-09-16 M 20190
1969-09-24 F 95745
1969-11-02 F 12455
1969-11-04 F 51700
1969-11-07 M 95560
1969-11-07 M 82785
1969-11-12 M 119645
1969-11-14 M 133110
1969-11-17 M 55450
1969-11-23 F 31560
1969-12-20 F 36585
1969-12-21 M 144645
1969-12-22 M 144315
1969-12-30 M 47610
1969-12-30 M 146090
1970-01-04 F 99115
1970-01-13 F 153335
1970-01-14 M 128525
1970-01-16 M 68260
1970-01-18 M 106345
1970-01-23 F 69005
1970-01-31 M 138950
1970-02-07 F 90325
1970-03-04 F 5880
1970-03-07 M 93610
1970-03-09 F 39355
1970-03-16 F 30800
1970-03-23 M 101605
1970-03-28 M 56955
1970-04-06 F 43995
1970-04-08 M 69280
1970-04-08 F 10895
1970-04-23 M 43860
1970-04-30 F 28520
1970-05-12 F 144190
1970-05-19 M 84700
1970-05-25 M 16500
1970-06-20 F 129730
1970-06-25 M 147750
1970-06-30 M 42505
1970-07-04 F 109515
1970-07-05 M 116645
1970-07-23 F 161080
1970-07-25 M 4255
1970-07-25 M 142295
1970-08-23 M 160585
1970-08-28 M 76035
1970-09-01 F 50715
1970-09-07 F 92770
1970-09-27 M 89450
1970-10-04 M 10415
1970-10-06 M 144875
1970-10-09 F 71425
1970-10-21 F 102535
1970-10-21 M 21085
1970-10-23 M 91580
1970-11-13 F 56730
1970-11-15 M 15915
1970-12-01 M 75910
1970-12-14 M 146770
1970-12-15 F 30565
1970-12-17 F 15045
1970-12-22 F 31475
1970-12-24 F 103610
1971-01-05 M 113813
1971-01-14 M 65247
1971-01-16 M 52223
1971-01-22 M 92319
1971-01-22 F 26152
1971-01-29 F 46445
1971-01-29 F 4060
1971-02-04 F 7717
1971-02-19 M 97919
1971-03-05 M 36543
1971-03-13 M 53966
1971-03-15 F 22781
1971-04-10 F 38360
1971-04-13 F 84665
1971-04-17 F 6538
1971-04-18 M 73860
1971-04-20 F 56238
1971-04-29 M 61183
1971-04-29 M 105665
1971-05-18 F 83541
1971-05-22 F 35329
1971-06-01 F 22865
1971-07-05 M 96519
1971-07-10 F 33876
1971-07-15 M 86758
1971-07-18 F 77938
1971-07-29 M 111321
1971-08-04 F 3993
1971-08-13 M 105140
1971-08-14 M 49640
1971-08-17 M 70206
1971-08-20 F 44534
1971-08-22 F 2159
1971-08-24 M 38734
1971-08-28 M 53203
1971-08-28 M 81872
1971-08-28 M 62394
1971-09-02 F 113127
1971-10-10 M 18343
1971-10-17 F 30548
1971-10-21 F 1564
1971-10-27 F 107705
1971-11-01 M 52195
1971-11-25 F 7717
1971-11-25 F 55069
1971-11-29 M 77427
1971-11-30 F 78746
1971-12-11 M 86719
1971-12-17 F 21311
1971-12-19 F 77735
1972-01-02 M 2796
1972-01-03 M 76958
1972-01-03 M 15375
1972-01-09 F 73668
1972-01-16 M 91619
1972-01-20 F 88434
1972-01-29 M 91850
1972-01-31 F 11497
1972-02-20 F 100023
1972-02-21 M 77560
1972-02-23 M 65625
1972-02-23 M 112934
1972-03-03 M 36704
1972-03-04 F 51467
1972-03-05 M 50515
1972-03-16 F 58023
1972-03-16 M 49661
1972-03-23 M 81259
1972-03-26 F 4287
1972-03-28 M 107327
1972-03-30 M 56455
1972-04-07 M 48163
1972-04-10 M 44285
1972-04-11 F 91175
1972-04-16 F 21647
1972-04-21 M 46707
1972-05-15 F 101706
1972-05-19 M 102756
1972-05-30 F 108335
1972-06-16 F 13713
1972-06-17 F 1410
1972-07-12 M 9261
1972-07-24 F 93835
1972-08-05 F 107901
1972-08-13 M 37016
1972-08-17 M 60683
1972-09-02 F 18245
1972-09-05 F 63773
1972-09-06 F 78053
1972-09-14 M 94640
1972-09-14 M 6356
1972-09-17 M 25980
1972-09-23 F 95126
1972-09-25 M 20030
1972-10-07 M 41534
1972-10-29 F 68722
1972-11-03 M 31682
1972-11-13 M 1844
1972-11-14 M 87178
1972-11-16 M 101594
1972-11-17 F 32522
1972-11-19 F 30394
1972-11-20 F 24398
1972-11-24 M 28885
1972-12-01 F 6902
1972-12-03 F 96173
1972-12-16 M 84175
1972-12-17 M 50232
1972-12-26 M 39928
1972-12-28 M 78526
1973-01-01 M 30299
1973-01-20 M 72796
1973-01-27 F 25994
1973-02-02 M 68390
1973-02-14 M 3409
1973-02-15 F 49885
1973-02-17 M 11693
1973-03-08 M 91808
1973-03-11 F 59391
1973-04-01 M 2282
1973-04-03 F 27055
1973-04-13 F 56609
1973-04-25 F 78291
1973-04-28 M 106533
1973-05-02 M 47621
1973-05-02 F 41951
1973-05-08 M 33274
1973-05-08 M 106242
1973-05-19 M 34478
1973-05-21 M 114089
1973-05-22 M 107639
1973-06-03 M 17941
1973-06-05 F 78067
1973-06-25 F 90398
1973-06-26 F 84553
1973-06-27 M 83044
1973-07-08 M 17934
1973-07-09 M 52230
1973-07-13 F 112903
1973-07-19 M 91161
1973-08-07 F 101185
1973-08-16 M 24038
1973-08-21 M 74410
1973-08-28 F 113393
1973-08-31 M 108710
1973-09-04 M 55408
1973-09-11 F 97569
1973-09-21 F 78211
1973-10-01 M 71414
1973-10-10 M 78120
1973-10-18 F 30859
1973-10-25 M 76275
1973-11-20 F 2681
1973-11-26 M 113365
1973-11-29 F 665
1973-12-05 F 89817
1973-12-14 F 76191
1973-12-25 M 39319
1973-12-29 F 25301
1974-01-06 F 13776
1974-01-06 M 68911
1974-01-23 F 65180
1974-01-29 M 24020
1974-02-10 F 59818
1974-02-12 M 39319
1974-02-16 F 27149
1974-02-17 M 79810
1974-02-25 F 6377
1974-03-17 M 102567
1974-03-26 M 30159
1974-03-29 F 16544
1974-04-05 F 59794
1974-04-06 M 84189
1974-04-11 M 67578
1974-05-21 M 27020
1974-05-26 F 48251
1974-06-05 M 60599
1974-06-09 M 112021
1974-06-19 F 79604
1974-06-22 F 78984
1974-07-04 F 15319
1974-07-07 F 110803
1974-07-10 M 74508
1974-07-12 M 76919
1974-07-12 F 33596
1974-07-13 M 86912
1974-07-23 F 40614
1974-07-25 M 84584
1974-08-08 M 56752
1974-08-14 M 15778
1974-08-18 F 79009
1974-08-19 M 67914
1974-09-08 M 24671
1974-09-26 M 92158
1974-10-05 F 32081
1974-10-05 F 12236
1974-10-09 F 97765
1974-10-11 M 53210
1974-10-15 F 22085
1974-10-17 M 86338
1974-10-22 M 10766
1974-10-23 M 54428
1974-10-25 M 60833
1974-11-03 F 113253
1974-11-06 F 15106
1974-11-08 F 105143
1974-11-12 F 17776
1974-11-18 M 84035
1974-11-26 M 37705
1974-12-01 M 5656
1974-12-01 F 80528
1974-12-02 M 36575
1974-12-03 M 55146
1974-12-12 M 48664
1974-12-17 M 68183
1974-12-25 M 71029
1974-12-29 F 11553
1974-12-31 F 27016
1975-01-01 F 85533
1975-01-29 M 94514
1975-02-16 M 66563
1975-02-24 F 41072
1975-03-23 M 71200
1975-03-26 M 27835
1975-04-02 M 86649
1975-04-08 F 83317
1975-05-07 M 40292
1975-05-13 M 105983
1975-05-16 M 24472
1975-05-22 M 86079
1975-05-26 M 91430
1975-06-08 M 113368
1975-06-10 F 94374
1975-06-26 M 105227
1975-07-09 M 67746
1975-07-16 M 42602
1975-07-20 F 36554
1975-08-03 M 112308
1975-08-03 F 9096
1975-08-17 F 104503
1975-08-25 M 56395
1975-08-25 M 40817
1975-08-27 M 58002
1975-08-28 F 13513
1975-08-28 F 11532
1975-09-07 M 69184
1975-09-12 M 13202
1975-10-24 M 102336
1975-11-03 F 89099
1975-11-18 M 2884
1975-11-19 F 42535
1975-11-19 M 64337
1975-11-24 M 57757
1975-11-30 F 63556
1975-12-02 M 31755
1975-12-07 M 69667
1975-12-18 F 50085
1975-12-20 F 15239
1976-01-05 F 106246
1976-01-06 F 49966
1976-01-27 M 42980
1976-02-04 F 98567
1976-02-08 F 4756
1976-02-16 F 111769
1976-02-19 M 8176
1976-02-20 M 98224
1976-02-26 F 43571
1976-03-11 F 70822
1976-03-19 F 71855
1976-03-30 F 26120
1976-03-30 F 8904
1976-04-01 M 43305
1976-04-04 M 39532
1976-04-07 M 92753
1976-04-08 F 41454
1976-04-10 M 101699
1976-04-11 M 8417
1976-04-11 F 11599
1976-04-11 M 106424
1976-04-16 M 65117
1976-05-07 M 6573
1976-05-24 F 21826
1976-05-24 F 89428
1976-05-27 F 84864
1976-05-29 M 75012
1976-06-04 M 12330
1976-06-04 M 61383
1976-06-12 F 32721
1976-06-13 F 78893
1976-07-04 F 17486
1976-07-09 M 16999
1976-07-15 F 64722
1976-07-19 F 63528
1976-07-23 M 32413
1976-08-16 F 43228
1976-08-19 M 20478
1976-08-23 M 47502
1976-08-23 M 74903
1976-08-28 F 33932
1976-08-30 M 22708
1976-08-31 F 89932
1976-09-05 M 9653
1976-09-06 F 41356
1976-09-15 F 23607
1976-09-20 M 41839
1976-09-21 F 7098
1976-09-22 F 23201
1976-09-25 M 98630
1976-10-03 F 84084
1976-10-06 F 68390
1976-10-22 F 13569
1976-10-25 M 34447
1976-10-29 M 17836
1976-11-11 F 23439
1976-11-17 M 29494
1976-12-08 F 66983
1976-12-12 M 77448
1977-01-02 M 67375
1977-01-13 M 33138
1977-01-21 F 47036
1977-01-27 M 86975
1977-02-11 F 33376
1977-02-14 M 26838
1977-02-24 M 52090
1977-03-04 F 17496
1977-03-06 M 66752
1977-03-07 M 25735
1977-03-11 M 82383
1977-03-16 M 51065
1977-04-03 M 109637
1977-04-10 M 53483
1977-04-14 F 16492
1977-04-19 M 15610
1977-04-30 F 22134
1977-05-06 F 72110
1977-05-06 F 82250
1977-05-12 F 73440
1977-05-19 M 25056
1977-05-24 M 86247
1977-06-01 M 42259
1977-06-26 F 7108
1977-06-29 F 58520
1977-07-11 F 52594
1977-07-18 F 60060
1977-07-18 F 12778
1977-07-19 M 90583
1977-07-20 M 36893
1977-07-22 F 58103
1977-07-23 M 51670
1977-08-02 F 48370
1977-08-17 F 110306
1977-08-30 M 34776
1977-09-10 F 106578
1977-09-11 M 64659
1977-09-29 F 79800
1977-09-29 M 50470
1977-10-06 F 10489
1977-10-10 F 113036
1977-10-14 F 112938
1977-10-22 M 39781
1977-10-23 F 38892
1977-10-27 M 74322
1977-11-06 M 49668
1977-11-09 F 23065
1977-11-12 F 945
1977-11-13 M 5575
1977-11-17 M 103379
1977-11-20 F 17692
1977-12-10 M 28983
1977-12-25 F 71221
1977-12-28 F 43025
1977-12-31 M 15249
1978-01-06 M 58646
1978-01-11 F 69814
1978-01-24 F 73976
1978-02-04 F 46676
1978-02-13 M 80276
1978-02-14 M 87080
1978-02-19 M 23103
1978-02-23 M 56927
1978-03-12 F 73097
1978-03-13 F 17213
1978-03-17 F 35990
1978-03-28 M 106540
1978-03-30 F 77700
1978-04-11 M 61141
1978-04-15 M 20093
1978-04-18 M 15130
1978-05-03 F 6048
1978-05-13 F 104121
1978-05-20 M 102217
1978-05-26 M 48678
1978-06-03 F 50669
1978-06-08 M 112994
1978-06-12 F 114023
1978-06-13 F 76947
1978-06-14 M 70686
1978-06-15 M 87202
1978-06-17 F 46354
1978-06-17 F 5568
1978-06-22 F 97163
1978-07-06 F 30324
1978-07-18 F 63269
1978-07-25 M 6142
1978-08-04 F 22036
1978-08-06 M 62034
1978-08-16 M 62212
1978-08-25 M 89054
1978-09-01 F 15382
1978-09-23 M 62121
1978-09-23 M 99071
1978-10-07 M 42
1978-10-21 F 27674
1978-10-25 F 109028
1978-11-06 M 87209
1978-11-13 F 41461
1978-11-22 F 50673
1978-11-24 M 65607
1978-11-28 F 1078
1978-12-05 M 41695
1978-12-10 F 110901
1978-12-20 M 36925
1979-01-09 F 109063
1979-01-12 M 86320
1979-01-14 M 21217
1979-01-15 M 43211
1979-01-23 M 44397
1979-01-26 M 76408
1979-01-29 M 86964
1979-02-01 F 96614
1979-02-03 M 24626
1979-02-05 F 68607
1979-02-08 F 19946
1979-02-20 F 28931
1979-02-20 F 86285
1979-02-23 M 61512
1979-02-26 F 102021
1979-02-26 M 63801
1979-02-26 F 40621
1979-03-03 M 80031
1979-03-03 F 20625
1979-03-09 F 18158
1979-03-19 M 11970
1979-03-22 M 97289
1979-03-30 F 111261
1979-04-06 M 44859
1979-04-10 M 89012
1979-04-12 F 40036
1979-04-15 M 81802
1979-04-26 M 6534
1979-04-27 F 26022
1979-05-02 F 51054
1979-05-05 F 62027
1979-05-21 F 23149
1979-05-22 M 86117
1979-05-30 F 58684
1979-05-30 M 54824
1979-06-02 F 29036
1979-06-05 F 98318
1979-06-07 F 78669
1979-06-16 M 44397
1979-06-21 M 84094
1979-06-27 M 113928
1979-06-27 M 59111
1979-07-05 M 7847
1979-07-25 M 99379
1979-08-02 M 61414
1979-08-04 F 71886
1979-08-11 F 15886
1979-08-16 F 89771
1979-08-17 F 27849
1979-08-18 M 4802
1979-09-01 M 28567
1979-09-03 M 83107
1979-09-05 F 58814
1979-09-08 M 71533
1979-09-10 F 50638
1979-09-12 F 29354
1979-09-14 F 45969
1979-10-02 F 26071
1979-10-04 F 66531
1979-10-18 F 56248
1979-11-05 M 62475
1979-11-07 F 78344
1979-11-17 M 50347
1979-11-19 F 103981
1979-11-20 F 60644
1979-11-29 F 107516
1979-11-29 F 84469
1979-12-10 F 29221
1979-12-11 F 15897
1979-12-13 F 81151
1979-12-17 M 14427
1979-12-23 M 100880
1979-12-24 M 23341
1979-12-28 F 61236
1980-01-04 F 41377
1980-01-20 F 106774
1980-02-01 M 63539
1980-03-01 M 105577
1980-03-14 F 94384
1980-03-19 F 60609
1980-03-26 M 35983
1980-04-13 F 89813
1980-04-16 F 7507
1980-04-22 M 48265
1980-04-29 F 39165
1980-05-11 F 66143
1980-05-23 M 20769
1980-06-23 M 7840
1980-06-26 M 25018
1980-06-26 F 55405
1980-07-06 M 32364
1980-07-07 F 18000
1980-07-07 M 32109
1980-07-25 M 30660
1980-07-26 M 8340
1980-08-06 M 64008
1980-08-08 F 62832
1980-08-21 M 31545
1980-08-25 M 48643
1980-09-01 M 100376
1980-10-03 F 93222
1980-10-10 M 88396
1980-10-10 F 84990
1980-10-14 M 92704
1980-10-14 F 80213
1980-10-16 F 136
1980-10-29 M 8823
1980-11-02 M 94244
1980-11-17 M 30152
1980-11-26 M 59962
1980-12-07 M 53802
1980-12-18 F 86908
1981-01-04 M 6742
1981-01-06 F 59615
1981-01-21 M 16955
1981-01-27 M 18602
1981-01-29 M 50482
1981-01-31 F 55905
1981-02-01 F 65277
1981-02-03 F 20067
1981-02-11 M 50575
1981-02-12 M 56660
1981-02-23 F 71247
1981-03-03 M 74242
1981-03-14 F 29692
1981-03-23 M 28580
1981-04-06 M 42845
1981-05-02 M 59497
1981-05-03 F 27252
1981-05-14 F 62872
1981-05-21 F 16137
1981-05-26 M 56365
1981-05-28 M 47840
1981-05-30 M 3120
1981-05-31 M 77772
1981-06-02 M 31792
1981-06-04 F 70115
1981-06-22 F 31100
1981-06-28 F 10782
1981-07-02 F 32735
1981-07-03 F 17412
1981-07-03 M 75102
1981-07-05 M 60452
1981-07-12 M 56675
1981-07-13 F 47605
1981-07-15 M 6377
1981-07-17 M 4672
1981-07-27 M 25402
1981-08-02 F 46435
1981-08-17 M 16720
1981-09-14 F 48037
1981-09-21 M 29937
1981-09-29 F 40132
1981-10-09 M 71372
1981-10-11 F 28107
1981-10-25 F 25802
1981-10-28 F 61292
1981-10-28 F 76680
1981-11-09 F 76707
1981-11-10 F 65825
1981-11-22 M 64005
1981-11-23 M 66182
1981-11-28 F 49695
1981-12-01 F 18247
1981-12-07 F 6977
1981-12-07 F 47457
1981-12-12 M 50220
1982-01-02 F 36920
1982-01-05 F 67332
1982-01-10 F 7637
1982-01-18 M 34502
1982-02-19 F 52340
1982-02-20 F 23465
1982-02-22 M 22062
1982-02-25 M 6760
1982-02-28 M 5127
1982-03-01 F 63967
1982-03-04 F 36537
1982-03-09 F 11070
1982-03-14 M 55935
1982-03-16 M 5627
1982-03-19 M 847
1982-04-02 F 11990
1982-05-13 F 5907
1982-05-15 M 77280
1982-05-27 M 13255
1982-06-06 M 6932
1982-06-12 F 17762
1982-06-15 F 48612
1982-06-21 M 54975
1982-06-22 F 30682
1982-06-25 M 22692
1982-07-01 F 17365
1982-07-02 M 27962
1982-07-18 F 30225
1982-07-23 M 61750
1982-08-01 M 64217
1982-08-04 M 33440
1982-08-08 M 51262
1982-08-12 F 1485
1982-08-23 F 3065
1982-08-28 F 26775
1982-08-30 F 64582
1982-09-06 M 79825
1982-09-06 F 65405
1982-09-07 M 6102
1982-09-30 F 13765
1982-10-08 M 58862
1982-10-13 M 66907
1982-10-13 M 16927
1982-10-30 M 59030
1982-11-05 F 47632
1982-11-10 M 19835
1982-11-24 M 8472
1982-11-24 M 23027
1982-11-27 M 29835
1982-12-01 M 2020
1982-12-08 M 67935
1982-12-16 M 68242
1982-12-24 F 32805
1982-12-29 M 26872
1983-01-31 F 51812
1983-02-05 M 62952
1983-02-05 F 50397
1983-02-07 F 62642
1983-02-15 M 18882
1983-02-16 F 7930
1983-02-17 M 16155
1983-02-20 F 55140
1983-02-21 F 54467
1983-03-06 M 48922
1983-03-07 F 5272
1983-03-20 M 9867
1983-04-03 M 75802
1983-04-04 F 26842
1983-04-12 F 49345
1983-04-15 M 40362
1983-04-20 F 50892
1983-04-24 F 47532
1983-04-25 M 28935
1983-05-02 M 9670
1983-05-09 M 42630
1983-05-19 F 66645
1983-05-25 M 63007
1983-05-29 M 45817
1983-05-30 M 34180
1983-06-04 M 61862
1983-06-05 M 445
1983-07-10 M 32070
1983-07-13 F 49685
1983-07-24 M 62477
1983-07-29 F 18655
1983-08-05 F 49387
1983-08-07 M 78117
1983-08-12 F 65757
1983-08-16 F 50197
1983-08-18 M 38362
1983-08-21 F 12750
1983-08-31 M 62787
1983-09-02 F 16175
1983-09-16 F 58437
1983-09-18 F 50402
1983-09-21 F 19805
1983-09-25 M 33545
1983-09-30 M 44305
1983-09-30 F 12165
1983-10-07 M 14247
1983-11-06 M 39882
1983-11-07 M 65707
1983-11-07 F 1605
1983-11-08 F 21955
1983-11-10 F 9187
1983-11-15 F 66447
1983-11-27 F 72627
1983-12-04 M 17190
1983-12-05 M 51432
1983-12-06 M 3840
1983-12-06 F 60102
1983-12-13 M 940
1984-01-11 F 14332
1984-02-03 F 72627
1984-02-04 F 77560
1984-02-08 M 73410
1984-02-09 F 79387
1984-02-24 M 52690
1984-03-07 F 66140
1984-03-11 F 9637
1984-03-22 F 42687
1984-03-27 F 59860
1984-04-04 M 35387
1984-04-27 M 30087
1984-05-06 M 31042
1984-05-18 F 31835
1984-05-23 F 51992
1984-05-30 M 10950
1984-05-31 M 78107
1984-06-05 M 64280
1984-06-14 M 3810
1984-06-23 M 78642
1984-06-27 F 67277
1984-06-30 M 65510
1984-07-17 M 56452
1984-07-20 M 10942
1984-07-23 F 75212
1984-07-30 F 47222
1984-08-12 M 77177
1984-08-14 F 68665
1984-08-20 M 12772
1984-08-21 F 46095
1984-09-07 M 51487
1984-09-10 M 17735
1984-09-15 F 47572
1984-09-20 M 33285
1984-09-24 M 3502
1984-09-24 F 73080
1984-10-04 F 21450
1984-10-15 M 55402
1984-10-17 F 49295
1984-11-03 M 25775
1984-11-05 F 53222
1984-11-23 F 58035
1984-11-25 F 76157
1984-11-28 F 70795
1984-12-04 M 58702
1984-12-04 M 44122
1984-12-20 M 5177
1984-12-24 M 35622
1985-01-04 F 40200
1985-01-05 F 28232
1985-01-12 F 25825
1985-01-19 F 65997
1985-01-19 F 31760
1985-02-03 F 13465
1985-02-12 M 1867
1985-02-14 M 41550
1985-02-19 F 81650
1985-03-04 M 31890
1985-03-09 M 31375
1985-03-15 F 73147
1985-03-26 M 68900
1985-04-10 M 18595
1985-04-18 F 71827
1985-04-26 M 51267
1985-04-28 M 36925
1985-05-11 M 61342
1985-05-18 F 73937
1985-05-30 F 43242
1985-06-07 F 47202
1985-06-07 M 19897
1985-06-10 F 52355
1985-06-10 F 68025
1985-06-21 M 6565
1985-06-24 F 61580
1985-07-18 F 32717
1985-08-07 M 51982
1985-08-09 M 76207
1985-08-18 F 14707
1985-09-29 M 57992
1985-10-03 M 77197
1985-10-16 F 71777
1985-10-16 F 54537
1985-10-25 M 71420
1985-11-08 F 33615
1985-11-14 F 70600
1985-11-17 M 30410
1985-11-18 F 62407
1985-11-22 M 30090
1985-11-22 M 19155
1985-12-04 F 39822
1985-12-18 M 28092
1985-12-22 M 18635
1986-01-02 M 6760
1986-01-06 M 60440
1986-01-15 M 25975
1986-01-27 M 67452
1986-02-02 M 17690
1986-02-12 M 4087
1986-02-26 F 26547
1986-03-04 M 79037
1986-03-12 F 55935
1986-03-21 F 53540
1986-03-31 F 40217
1986-04-08 F 27535
1986-04-11 F 70790
1986-04-18 M 42010
1986-04-20 M 60375
1986-05-02 M 77975
1986-05-07 M 61995
1986-05-14 M 25857
1986-05-15 M 63897
1986-06-01 F 46347
1986-06-02 M 737
1986-06-06 F 77852
1986-06-09 F 13877
1986-06-19 M 57725
1986-06-24 F 73017
1986-06-24 F 19620
1986-06-30 F 22887
1986-07-04 F 13250
1986-07-10 M 74780
1986-07-15 M 63652
1986-07-19 F 12885
1986-07-19 F 76127
1986-07-31 F 26657
1986-08-02 M 19130
1986-08-09 M 76665
1986-08-10 F 4705
1986-08-14 F 20557
1986-08-17 M 49020
1986-08-20 F 13167
1986-08-22 M 30740
1986-08-24 F 10490
1986-08-24 M 69945
1986-08-26 M 42722
1986-08-30 M 36845
1986-09-05 F 48442
1986-09-09 F 2520
1986-09-19 F 59522
1986-09-22 F 53415
1986-09-27 M 46457
1986-09-30 F 43267
1986-10-10 F 41092
1986-10-12 M 60180
1986-10-16 F 60760
1986-10-20 F 71295
1986-11-08 M 70712
1986-11-18 M 11255
1986-12-05 F 4860
1986-12-18 F 42572
1986-12-21 M 3030
1986-12-23 F 78725
1986-12-29 F 15950
1987-01-11 M 74222
1987-01-22 M 59640
1987-02-02 F 17240
1987-02-08 M 54885
1987-02-17 M 16205
1987-02-21 M 68192
1987-02-21 F 32915
1987-03-01 M 73360
1987-03-09 F 58227
1987-03-12 M 22570
1987-03-16 M 42757
1987-03-24 F 67710
1987-03-30 F 27327
1987-03-31 F 48480
1987-03-31 M 75390
1987-04-02 F 23752
1987-04-04 M 17237
1987-04-17 F 73820
1987-04-22 M 51537
1987-05-15 F 69702
1987-05-21 F 33252
1987-05-30 M 78660
1987-06-04 M 76382
1987-06-05 F 42262
1987-06-13 M 68032
1987-06-17 M 7297
1987-06-18 F 73085
1987-06-26 F 37420
1987-07-28 M 33992
1987-08-01 F 53962
1987-08-05 F 37900
1987-08-06 F 32860
1987-08-11 F 35452
1987-08-17 F 74537
1987-08-31 M 63425
1987-09-23 F 3455
1987-09-30 M 72567
1987-10-02 M 44772
1987-10-07 F 23537
1987-10-12 F 5537
1987-10-13 M 79130
1987-10-13 F 1245
1987-10-16 M 52620
1987-10-27 F 16417
1987-11-06 M 34465
1987-11-07 F 61297
1987-11-15 M 79730
1987-11-27 M 29470
1987-11-28 M 3912
1987-11-28 M 65492
1987-12-05 M 58705
1987-12-06 M 40412
1987-12-12 M 25080
1987-12-16 F 28455
1987-12-20 M 75617
1987-12-25 M 50237
1987-12-27 F 16105
1988-01-03 M 65102
1988-01-23 M 36217
1988-01-25 F 26525
1988-02-06 M 75810
1988-02-10 M 34997
1988-02-13 M 3955
1988-02-22 F 71795
1988-02-28 M 6572
1988-03-23 M 53775
1988-03-28 F 47267
1988-03-30 M 69270
1988-04-08 M 8125
1988-04-09 M 78335
1988-04-10 F 63817
1988-04-12 M 60050
1988-04-25 F 40492
1988-04-28 M 38477
1988-04-29 M 3662
1988-05-05 M 2957
1988-05-30 F 53805
1988-06-06 M 51390
1988-06-20 M 70717
1988-06-21 M 28050
1988-06-27 M 18257
1988-06-28 F 9367
1988-06-28 M 26837
1988-07-09 M 55897
1988-07-30 M 19267
1988-07-31 M 1120
1988-08-06 M 7592
1988-08-22 M 10535
1988-08-26 M 35575
1988-09-08 M 18822
1988-09-22 F 3030
1988-09-29 M 29082
1988-10-01 F 20665
1988-10-04 F 3565
1988-10-07 M 44245
1988-10-25 M 40787
1988-10-26 M 38365
1988-12-06 M 40172
1988-12-06 F 65105
1988-12-07 F 45665
1988-12-08 M 18412
1988-12-17 M 29040
1988-12-17 F 66447
1988-12-22 M 53035
1988-12-23 F 22377
1988-12-24 F 70122
1989-01-12 M 68612
1989-02-04 M 56002
1989-02-12 F 71965
1989-02-13 F 56317
1989-02-16 M 31345
1989-02-17 M 3765
1989-03-11 F 9252
1989-03-20 F 41882
1989-04-08 M 45152
1989-04-12 F 70640
1989-05-06 M 61667
1989-05-19 F 43992
1989-05-29 M 4160
1989-06-02 M 47227
1989-06-05 M 59387
1989-06-10 F 60845
1989-06-30 M 8092
1989-07-14 M 22930
1989-07-17 F 32877
1989-08-29 F 34955
1989-08-30 M 18682
1989-09-01 F 36077
1989-09-07 F 50505
1989-09-12 F 46935
1989-09-14 M 32727
1989-09-16 M 48787
1989-10-10 M 77305
1989-10-21 F 15080
1989-10-26 M 59605
1989-11-07 F 23872
1989-11-08 M 68980
1989-11-20 M 34265
1989-11-28 F 38005
1989-12-04 M 49165
1989-12-11 M 67035
1989-12-16 M 76772
1989-12-18 F 47970
1989-12-25 M 33880
1989-12-25 F 38845
1989-12-31 M 18632
1990-01-06 M 25935
1990-01-06 M 16457
1990-01-10 M 11410
